location_code,measurement_time,bicycle_count
PUT04_057B_P,2022-08-09 15:00:00,475
PUT04_057B_P,2022-08-09 16:00:00,0
PUT04_057B_P,2022-08-09 17:00:00,0
PUT04_057B_P,2022-08-09 18:00:00,0
PUT04_057B_P,2022-08-09 19:00:00,0
PUT04_057B_P,2022-08-09 20:00:00,0
PUT04_057B_P,2022-08-09 21:00:00,153
PUT04_057B_P,2022-08-09 22:00:00,690
PUT04_057B_P,2022-08-09 23:00:00,343
PUT04_057B_P,2022-08-10 00:00:00,218
PUT04_057B_P,2022-08-10 01:00:00,133
PUT04_057B_P,2022-08-10 02:00:00,70
PUT04_057B_P,2022-08-10 03:00:00,57
PUT04_057B_P,2022-08-10 04:00:00,24
PUT04_057B_P,2022-08-10 05:00:00,43
PUT04_057B_P,2022-08-10 06:00:00,181
PUT04_057B_P,2022-08-10 07:00:00,598
PUT04_057B_P,2022-08-10 08:00:00,507
PUT04_057B_P,2022-08-10 09:00:00,487
PUT04_057B_P,2022-08-10 10:00:00,733
PUT04_057B_P,2022-08-10 11:00:00,702
PUT04_057B_P,2022-08-10 12:00:00,695
PUT04_057B_P,2022-08-10 13:00:00,655
PUT04_057B_P,2022-08-10 14:00:00,784
PUT04_057B_P,2022-08-10 15:00:00,795
PUT04_057B_P,2022-08-10 16:00:00,245
PUT04_057B_P,2022-08-10 17:00:00,0
PUT04_057B_P,2022-08-10 18:00:00,0
PUT04_057B_P,2022-08-10 19:00:00,0
PUT04_057B_P,2022-08-10 20:00:00,0
PUT04_057B_P,2022-08-10 21:00:00,470
PUT04_057B_P,2022-08-10 22:00:00,685
PUT04_057B_P,2022-08-10 23:00:00,374
PUT04_057B_P,2022-08-11 00:00:00,335
PUT04_057B_P,2022-08-11 01:00:00,123
PUT04_057B_P,2022-08-11 02:00:00,111
PUT04_057B_P,2022-08-11 03:00:00,75
PUT04_057B_P,2022-08-11 04:00:00,63
PUT04_057B_P,2022-08-11 05:00:00,61
PUT04_057B_P,2022-08-11 06:00:00,183
PUT04_057B_P,2022-08-11 07:00:00,675
PUT04_057B_P,2022-08-11 08:00:00,586
PUT04_057B_P,2022-08-11 09:00:00,104
PUT04_057B_P,2022-08-11 10:00:00,664
PUT04_057B_P,2022-08-11 11:00:00,622
PUT04_057B_P,2022-08-11 12:00:00,753.82
PUT04_057B_P,2022-08-11 13:00:00,800
PUT04_057B_P,2022-08-11 14:00:00,760
PUT04_057B_P,2022-08-11 15:00:00,735
PUT04_057B_P,2022-08-11 16:00:00,100
PUT04_057B_P,2022-08-11 17:00:00,0
PUT04_057B_P,2022-08-11 18:00:00,0
PUT04_057B_P,2022-08-11 19:00:00,0
PUT04_057B_P,2022-08-11 20:00:00,0
PUT04_057B_P,2022-08-11 21:00:00,0
PUT04_057B_P,2022-08-11 22:00:00,121
PUT04_057B_P,2022-08-11 23:00:00,765
PUT04_057B_P,2022-08-12 00:00:00,504
PUT04_057B_P,2022-08-12 01:00:00,312
PUT04_057B_P,2022-08-12 02:00:00,171
PUT04_057B_P,2022-08-12 03:00:00,120
PUT04_057B_P,2022-08-12 04:00:00,105
PUT04_057B_P,2022-08-12 05:00:00,81
PUT04_057B_P,2022-08-12 06:00:00,193
PUT04_057B_P,2022-08-12 07:00:00,594
PUT04_057B_P,2022-08-12 08:00:00,716
PUT04_057B_P,2022-08-12 09:00:00,661
PUT04_057B_P,2022-08-12 10:00:00,726
PUT04_057B_P,2022-08-12 11:00:00,749
PUT04_057B_P,2022-08-12 12:00:00,786
PUT04_057B_P,2022-08-12 13:00:00,850
PUT04_057B_P,2022-08-12 14:00:00,732
PUT04_057B_P,2022-08-12 15:00:00,769
PUT04_057B_P,2022-08-12 16:00:00,349
PUT04_057B_P,2022-08-12 17:00:00,0
PUT04_057B_P,2022-08-12 18:00:00,0
PUT04_057B_P,2022-08-12 19:00:00,0
PUT04_057B_P,2022-08-12 20:00:00,0
PUT04_057B_P,2022-08-12 21:00:00,0
PUT04_057B_P,2022-08-12 22:00:00,671
PUT04_057B_P,2022-08-12 23:00:00,1020
PUT04_057B_P,2022-08-13 00:00:00,951
PUT04_057B_P,2022-08-13 01:00:00,629
PUT04_057B_P,2022-08-13 02:00:00,324
PUT04_057B_P,2022-08-13 03:00:00,276
PUT04_057B_P,2022-08-13 04:00:00,255
PUT04_057B_P,2022-08-13 05:00:00,77
PUT04_057B_P,2022-08-13 06:00:00,114.55
PUT04_057B_P,2022-08-13 07:00:00,133
PUT04_057B_P,2022-08-13 08:00:00,249
PUT04_057B_P,2022-08-13 09:00:00,619
PUT04_057B_P,2022-08-13 10:00:00,577
PUT04_057B_P,2022-08-13 11:00:00,57
PUT04_057B_P,2022-08-13 12:00:00,0
PUT04_057B_P,2022-08-13 13:00:00,0
PUT04_057B_P,2022-08-13 14:00:00,0
PUT04_057B_P,2022-08-13 15:00:00,0
PUT04_057B_P,2022-08-13 16:00:00,0
PUT04_057B_P,2022-08-13 17:00:00,0
PUT04_057B_P,2022-08-13 18:00:00,0
PUT04_057B_P,2022-08-13 19:00:00,0
PUT04_057B_P,2022-08-13 20:00:00,0
PUT04_057B_P,2022-08-13 21:00:00,984
PUT04_057B_P,2022-08-13 22:00:00,1039
PUT04_057B_P,2022-08-13 23:00:00,293
PUT04_057B_P,2022-08-14 00:00:00,0
PUT04_057B_P,2022-08-14 01:00:00,432
PUT04_057B_P,2022-08-14 02:00:00,370
PUT04_057B_P,2022-08-14 03:00:00,369
PUT04_057B_P,2022-08-14 04:00:00,234
PUT04_057B_P,2022-08-14 05:00:00,113
PUT04_057B_P,2022-08-14 06:00:00,101
PUT04_057B_P,2022-08-14 07:00:00,305
PUT04_057B_P,2022-08-14 08:00:00,278
PUT04_057B_P,2022-08-14 09:00:00,529.09
PUT04_057B_P,2022-08-14 10:00:00,571
PUT04_057B_P,2022-08-14 11:00:00,578
PUT04_057B_P,2022-08-14 12:00:00,753
PUT04_057B_P,2022-08-14 13:00:00,505
PUT04_057B_P,2022-08-14 14:00:00,147
PUT04_057B_P,2022-08-14 15:00:00,540
PUT04_057B_P,2022-08-14 16:00:00,760
PUT04_057B_P,2022-08-14 17:00:00,721
PUT04_057B_P,2022-08-14 18:00:00,210
PUT04_057B_P,2022-08-14 19:00:00,434
PUT04_057B_P,2022-08-14 20:00:00,647
PUT04_057B_P,2022-08-14 21:00:00,715
PUT04_057B_P,2022-08-14 22:00:00,535
PUT04_057B_P,2022-08-14 23:00:00,568
PUT04_057A_P,2022-08-01 00:00:00,80
PUT04_057A_P,2022-08-01 01:00:00,59
PUT04_057A_P,2022-08-01 02:00:00,27
PUT04_057A_P,2022-08-01 03:00:00,26
PUT04_057A_P,2022-08-01 04:00:00,7
PUT04_057A_P,2022-08-01 05:00:00,47
PUT04_057A_P,2022-08-01 06:00:00,85
PUT04_057A_P,2022-08-01 07:00:00,157
PUT04_057A_P,2022-08-01 08:00:00,288
PUT04_057A_P,2022-08-01 09:00:00,144
PUT04_057A_P,2022-08-01 10:00:00,163
PUT04_057A_P,2022-08-01 11:00:00,226
PUT04_057A_P,2022-08-01 12:00:00,308
PUT04_057A_P,2022-08-01 13:00:00,332
PUT04_057A_P,2022-08-01 14:00:00,375
PUT04_057A_P,2022-08-01 15:00:00,384
PUT04_057A_P,2022-08-01 16:00:00,512
PUT04_057A_P,2022-08-01 17:00:00,697
PUT04_057A_P,2022-08-01 18:00:00,586
PUT04_057A_P,2022-08-01 19:00:00,354
PUT04_057A_P,2022-08-01 20:00:00,309
PUT04_057A_P,2022-08-01 21:00:00,268
PUT04_057A_P,2022-08-01 22:00:00,217
PUT04_057A_P,2022-08-01 23:00:00,153
PUT04_057A_P,2022-08-02 00:00:00,123
PUT04_057A_P,2022-08-02 01:00:00,78
PUT04_057A_P,2022-08-02 02:00:00,50
PUT04_057A_P,2022-08-02 03:00:00,33
PUT04_057A_P,2022-08-02 04:00:00,30
PUT04_057A_P,2022-08-02 05:00:00,37
PUT04_057A_P,2022-08-02 06:00:00,68
PUT04_057A_P,2022-08-02 07:00:00,201
PUT04_057A_P,2022-08-02 08:00:00,365
PUT04_057A_P,2022-08-02 09:00:00,209
PUT04_057A_P,2022-08-02 10:00:00,215
PUT04_057A_P,2022-08-02 11:00:00,283
PUT04_057A_P,2022-08-02 12:00:00,360
PUT04_057A_P,2022-08-02 13:00:00,373
PUT04_057A_P,2022-08-02 14:00:00,385
PUT04_057A_P,2022-08-02 15:00:00,447
PUT04_057A_P,2022-08-02 16:00:00,517
PUT04_057A_P,2022-08-02 17:00:00,733
PUT04_057A_P,2022-08-02 18:00:00,590
PUT04_057A_P,2022-08-02 19:00:00,415
PUT04_057A_P,2022-08-02 20:00:00,339
PUT04_057A_P,2022-08-02 21:00:00,304
PUT04_057A_P,2022-08-02 22:00:00,292
PUT04_057A_P,2022-08-02 23:00:00,173
PUT04_057A_P,2022-08-03 00:00:00,110
PUT04_057A_P,2022-08-03 01:00:00,108
PUT04_057A_P,2022-08-03 02:00:00,87
PUT04_057A_P,2022-08-03 03:00:00,65
PUT04_057A_P,2022-08-03 04:00:00,64
PUT04_057A_P,2022-08-03 05:00:00,62.18
PUT04_057A_P,2022-08-03 06:00:00,83
PUT04_057A_P,2022-08-03 07:00:00,190
PUT04_057A_P,2022-08-03 08:00:00,315
PUT04_057A_P,2022-08-03 09:00:00,217
PUT04_057A_P,2022-08-03 10:00:00,270
PUT04_057A_P,2022-08-03 11:00:00,283
PUT04_057A_P,2022-08-03 12:00:00,405
PUT04_057A_P,2022-08-03 13:00:00,404
PUT04_057A_P,2022-08-03 14:00:00,402
PUT04_057A_P,2022-08-03 15:00:00,370
PUT04_057A_P,2022-08-03 16:00:00,520
PUT04_057A_P,2022-08-03 17:00:00,740
PUT04_057A_P,2022-08-03 18:00:00,663
PUT04_057A_P,2022-08-03 19:00:00,405
PUT04_057A_P,2022-08-03 20:00:00,382
PUT04_057A_P,2022-08-03 21:00:00,340
PUT04_057A_P,2022-08-03 22:00:00,341
PUT04_057A_P,2022-08-03 23:00:00,187
PUT04_057A_P,2022-08-04 00:00:00,131
PUT04_057A_P,2022-08-04 01:00:00,83
PUT04_057A_P,2022-08-04 02:00:00,84
PUT04_057A_P,2022-08-04 03:00:00,60
PUT04_057A_P,2022-08-04 04:00:00,44
PUT04_057A_P,2022-08-04 05:00:00,52
PUT04_057A_P,2022-08-04 06:00:00,77
PUT04_057A_P,2022-08-04 07:00:00,182
PUT04_057A_P,2022-08-04 08:00:00,325
PUT04_057A_P,2022-08-04 09:00:00,217
PUT04_057A_P,2022-08-04 10:00:00,264
PUT04_057A_P,2022-08-04 11:00:00,264
PUT04_057A_P,2022-08-04 12:00:00,325
PUT04_057A_P,2022-08-04 13:00:00,
PUT04_057A_P,2022-08-04 14:00:00,
PUT04_057A_P,2022-08-04 15:00:00,435
PUT04_057A_P,2022-08-04 16:00:00,470
PUT04_057A_P,2022-08-04 17:00:00,759
PUT04_057A_P,2022-08-04 18:00:00,616
PUT04_057A_P,2022-08-04 19:00:00,488
PUT04_057A_P,2022-08-04 20:00:00,393
PUT04_057A_P,2022-08-04 21:00:00,353
PUT04_057A_P,2022-08-04 22:00:00,294
PUT04_057A_P,2022-08-04 23:00:00,266
PUT04_057A_P,2022-08-05 00:00:00,179
PUT04_057A_P,2022-08-05 01:00:00,119
PUT04_057A_P,2022-08-05 02:00:00,157
PUT04_057A_P,2022-08-05 03:00:00,140
PUT04_057A_P,2022-08-05 04:00:00,116.73
PUT04_057A_P,2022-08-05 05:00:00,71
PUT04_057A_P,2022-08-05 06:00:00,63
PUT04_057A_P,2022-08-05 07:00:00,125
PUT04_057A_P,2022-08-05 08:00:00,240
PUT04_057A_P,2022-08-05 09:00:00,193
PUT04_057A_P,2022-08-05 10:00:00,255
PUT04_057A_P,2022-08-05 11:00:00,356
PUT04_057A_P,2022-08-05 12:00:00,384
PUT04_057A_P,2022-08-05 13:00:00,434
PUT04_057A_P,2022-08-05 14:00:00,463
PUT04_057A_P,2022-08-05 15:00:00,462
PUT04_057A_P,2022-08-05 16:00:00,558
PUT04_057A_P,2022-08-05 17:00:00,690
PUT04_057A_P,2022-08-05 18:00:00,537
PUT04_057A_P,2022-08-05 19:00:00,417
PUT04_057A_P,2022-08-05 20:00:00,334
PUT04_057A_P,2022-08-05 21:00:00,304
PUT04_057A_P,2022-08-05 22:00:00,327
PUT04_057A_P,2022-08-05 23:00:00,317
PUT04_057A_P,2022-08-06 00:00:00,282
PUT04_057A_P,2022-08-06 01:00:00,278
PUT04_057A_P,2022-08-06 02:00:00,232
PUT04_057A_P,2022-08-06 03:00:00,253
PUT04_057A_P,2022-08-06 04:00:00,169.09
PUT04_057A_P,2022-08-06 05:00:00,74
PUT04_057A_P,2022-08-06 06:00:00,55
PUT04_057A_P,2022-08-06 07:00:00,56
PUT04_057A_P,2022-08-06 08:00:00,87
PUT04_057A_P,2022-08-06 09:00:00,207
PUT04_057A_P,2022-08-06 10:00:00,332
PUT04_057A_P,2022-08-06 11:00:00,450
PUT04_057A_P,2022-08-06 12:00:00,470
PUT04_057A_P,2022-08-06 13:00:00,515
PUT04_057A_P,2022-08-06 14:00:00,488
PUT04_057A_P,2022-08-06 15:00:00,507
